meta_prompt,obj1,obj2,obj3,synthetic_prompt
"In one sentence, Describe a scene about a person and elephant.",elephant,,,"a person is standing in a wide-open field, watching an elephant wander slowly across the grassy terrain."
"In one sentence, Describe a scene about a person and banana.",banana,,,"a person is standing in their kitchen, looking at a banana in their hand with a contemplative expression."
"In one sentence, Describe a scene about a person and fork.",fork,,,"a person is sitting at a table, eating a meal with a fork in their hand."
"In one sentence, Describe a scene about a person and hair drier.",hair drier,,,"a person is standing in front of a mirror, blow-drying their hair with a hairdryer."
"In one sentence, Describe a scene about a person and orange.",orange,,,"the person was sitting in the sun, eating an orange and enjoying the warmth of the day."
"In one sentence, Describe a scene about a person and truck.",truck,,,"a person is driving a large truck down a dusty road, the sun setting in the distance."
"In one sentence, Describe a scene about a person and dining table.",dining table,,,"a person is sitting at a dining table, enjoying a meal with friends and family."
"In one sentence, Describe a scene about a person and baseball bat.",baseball bat,,,a person is swinging a baseball bat in a park as the sun sets.
"In one sentence, Describe a scene about a person and kite.",kite,,,"a person is standing in an open field, smiling as they watch their kite soar high in the sky above them."
"In one sentence, Describe a scene about a person and cell phone.",cell phone,,,"a person is sitting in a cafe, scrolling through their cell phone and sipping their coffee."
"In one sentence, Describe a scene about a person and tie.",tie,,,"a person is sitting in a chair, slowly tying a knot in a black tie, with a look of concentration on their face."
"In one sentence, Describe a scene about a person and skis.",skis,,,"a person is standing at the top of a snowy mountain, ready to ski down the slopes."
"In one sentence, Describe a scene about a person and skis.",skis,,,"a person is skiing down a snow-covered mountain, the sun glistening off their skis as they carve through the powder."
"In one sentence, Describe a scene about a person and bowl.",bowl,,,"a person is happily sitting in a cozy chair, eating a bowl of steaming hot soup."
"In one sentence, Describe a scene about a person and toaster.",toaster,,,a person is happily watching their toaster pop out two perfectly golden slices of toast.
"In one sentence, Describe a scene about a person and hot dog.",hot dog,,,"a person is sitting in a park on a sunny day, eating a hot dog with ketchup and mustard."
"In one sentence, Describe a scene about a person and skateboard.",skateboard,,,"a person is cruising down the street on their skateboard, the sun glinting off the board as they wind through the city streets."
"In one sentence, Describe a scene about a person and tv.",tv,,,"a person is sitting on a couch, engrossed in a show on their tv."
"In one sentence, Describe a scene about a person and apple.",apple,,,a person is happily eating a juicy red apple in a sunny meadow.
"In one sentence, Describe a scene about a person and laptop.",laptop,,,"a person is sitting at a desk, typing away on their laptop, with a cup of coffee beside them."
"In one sentence, Describe a scene about a person and bottle.",bottle,,,"a person is sitting on a beach, holding a bottle of beer, watching the sun set over the horizon."
"In one sentence, Describe a scene about a person and bed.",bed,,,"a person is lying in bed, peacefully snuggled up under the covers with a content look on their face."
"In one sentence, Describe a scene about a person and person.",person,,,"two people are sitting across from each other at a café, talking and laughing over coffee."
"In one sentence, Describe a scene about a person and orange.",orange,,,"the person was sitting in the sun, peeling an orange and savoring the sweet juice that ran down their chin."
"In one sentence, Describe a scene about a person and pizza.",pizza,,,"a person is sitting on their couch, eating a freshly-delivered pizza and watching their favorite movie."
"In one sentence, Describe a scene about a person and potted plant.",potted plant,,,"a person is sitting in a chair, reading a book and gently stroking the leaves of a potted plant next to them."
"In one sentence, Describe a scene about a person and parking meter.",parking meter,,,"a person is standing at a parking meter, feeding it coins to pay for the allotted time."
"In one sentence, Describe a scene about a person and refrigerator.",refrigerator,,,"a person is standing in their kitchen, their hands resting on the handle of an open refrigerator, looking inside for something to eat."
"In one sentence, Describe a scene about a person and cake.",cake,,,"a person is happily eating a delicious, freshly-baked chocolate cake in a cozy kitchen."
"In one sentence, Describe a scene about a person and surfboard.",surfboard,,,"a person is standing on the beach, holding a surfboard and looking out at the waves."
"In one sentence, Describe a scene about a person and refrigerator.",refrigerator,,,"a person stands in front of an open refrigerator, looking inside for something to eat."
"In one sentence, Describe a scene about a person and wine glass.",wine glass,,,"a person sits on a balcony, sipping a glass of wine while watching the sunset."
"In one sentence, Describe a scene about a person and hair drier.",hair drier,,,"a person is standing in front of a bathroom mirror, blow drying their hair with a hairdryer."
